"continent","iso","admin_0","admin_1","id_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","COD","Democratic Republic of the Congo","Haut-Lomami",10015068,"15.41","15.66","15.92",0.1506,0.1531,0.1556,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Haut-Uele",10015080,"15.61","15.82","16.04",0.1495,0.1516,0.1536,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Ituri",10015081,"15.29","15.53","15.78",0.1519,0.1544,0.1568,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kasai",10015062,"13.21","13.45","13.71",0.1749,0.1782,0.1815,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kasai Central",604100802,"13.28","13.52","13.78",0.1741,0.1773,0.1806,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kasai Oriental",10313185,"14.01","14.4","14.81",0.162,0.1665,0.1711,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kinshasa",10316392,"9.73","9.99","10.27",0.2336,0.24,0.2465,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kongo Central",10314703,"14.1","14.31","14.53",0.1651,0.1676,0.1701,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kwango",10015053,"14.25","14.47","14.7",0.1631,0.1657,0.1682,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kwilu",10015054,"14.14","14.36","14.59",0.1644,0.167,0.1696,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Lomami",604100801,"15.13","15.38","15.63",0.1534,0.1559,0.1584,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Lualaba",10015071,"15.49","15.74","16",0.1499,0.1523,0.1548,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Mai-Ndombe",10015055,"13.95","14.18","14.42",0.1663,0.1691,0.1719,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Maniema",10015076,"12.48","12.7","12.94",0.1853,0.1887,0.1922,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Mongala",10015048,"14.27","14.48","14.7",0.1631,0.1656,0.1681,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Nord-Kivu",10015077,"11.02","11.26","11.5",0.2085,0.2131,0.2176,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Nord-Ubangi",10015049,"13.94","14.15","14.37",0.1668,0.1694,0.1721,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Sankuru",10015066,"15.12","15.37","15.62",0.1535,0.156,0.1585,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Sud-Kivu",10015078,"12.02","12.29","12.57",0.1907,0.1951,0.1994,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Sud-Ubangi",10015050,"14.57","14.76","14.95",0.1604,0.1625,0.1645,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Tanganyka",10015073,"15.02","15.29","15.57",0.154,0.1568,0.1596,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Tshopo",10015083,"15.61","15.82","16.03",0.1496,0.1516,0.1537,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Tshuapa",10015051,"15.46","15.64","15.83",0.1515,0.1533,0.1551,"Pessimistic"
"Africa","COG","Congo","Bouenza",10313241,"8.1","8.36","8.64",0.2777,0.2868,0.2959,"Pessimistic"
"Africa","COG","Congo","Brazzaville",10312917,"9.82","10.3","10.83",0.2215,0.2328,0.2442,"Pessimistic"
"Africa","COG","Congo","Cuvette",10312940,"11.88","12.17","12.47",0.1923,0.1971,0.2018,"Pessimistic"
"Africa","COG","Congo","Cuvette-Ouest",10316044,"9.03","9.29","9.56",0.2507,0.2582,0.2657,"Pessimistic"
"Africa","COG","Congo","Kouilou",10313651,"7.2","7.41","7.64",0.3138,0.3235,0.3333,"Pessimistic"
"Africa","COG","Congo","Lekoumou",10312955,"8.56","8.84","9.13",0.2626,0.2713,0.28,"Pessimistic"
"Africa","COG","Congo","Likouala",10316373,"11.02","11.2","11.39",0.2105,0.214,0.2175,"Pessimistic"
"Africa","COG","Congo","Niari",10315824,"10.83","11.16","11.51",0.2083,0.2149,0.2215,"Pessimistic"
"Africa","COG","Congo","Plateaux",10315693,"9.23","9.53","9.86",0.2431,0.2515,0.2599,"Pessimistic"
"Africa","COG","Congo","Point-Noire",10314451,"7.15","7.37","7.61",0.3149,0.3252,0.3355,"Pessimistic"
"Africa","COG","Congo","Pool",10315656,"7.91","8.17","8.45",0.2837,0.2935,0.3032,"Pessimistic"
"Africa","COG","Congo","Sangha",10312872,"13.65","13.93","14.23",0.1685,0.1721,0.1757,"Pessimistic"
"Africa","COM","Comoros","Anjouan",10315278,"13.13","13.97","14.94",0.1605,0.1716,0.1827,"Pessimistic"
"Africa","COM","Comoros","Moheli",10313452,"12.15","12.88","13.69",0.1751,0.1862,0.1973,"Pessimistic"
"Africa","COM","Comoros","Ngazidja",10315233,"13.11","13.96","14.92",0.1608,0.1718,0.1829,"Pessimistic"
"Africa","DJI","Djibouti","Ali Sabieh",10312953,"8.81","9.12","9.45",0.2537,0.263,0.2722,"Pessimistic"
"Africa","DJI","Djibouti","Dikhil",10313677,"7.89","8.21","8.55",0.2803,0.2922,0.304,"Pessimistic"
"Africa","DJI","Djibouti","Djibouti",10313203,"7.4","7.86","8.39",0.286,0.3051,0.3241,"Pessimistic"
"Africa","DJI","Djibouti","Obock",10315724,"11.19","11.31","11.43",0.2099,0.2121,0.2143,"Pessimistic"
"Africa","DJI","Djibouti","Tadjourah",10314957,"10.13","10.24","10.35",0.2318,0.2342,0.2366,"Pessimistic"
"Africa","ERI","Eritrea","Anseba",10313697,"12.71","14.12","15.87",0.1511,0.1698,0.1886,"Pessimistic"
"Africa","ERI","Eritrea","Archipelagos",604492669,"12.54","14.09","16.07",0.1492,0.1702,0.1912,"Pessimistic"
"Africa","ERI","Eritrea","Debub",10315807,"11.85","12.89","14.12",0.1698,0.1861,0.2023,"Pessimistic"
"Africa","ERI","Eritrea","Debubawi Keih Bahri",10315474,"12.48","13.98","15.89",0.1509,0.1716,0.1922,"Pessimistic"
"Africa","ERI","Eritrea","Gash Barka",10316250,"13.24","14.34","15.64",0.1533,0.1673,0.1812,"Pessimistic"
"Africa","ERI","Eritrea","Maekel",10314142,"12.47","14.01","15.98",0.1501,0.1712,0.1923,"Pessimistic"
"Africa","ERI","Eritrea","Semenawi Keih Bahri",10313148,"11.67","12.63","13.77",0.1741,0.1898,0.2055,"Pessimistic"
"Africa","ETH","Ethiopia","Addis Ababa",10314864,"10.47","11.42","12.55",0.191,0.2101,0.2291,"Pessimistic"
"Africa","ETH","Ethiopia","Afar",10315220,"15.02","16.12","17.39",0.1379,0.1487,0.1596,"Pessimistic"
"Africa","ETH","Ethiopia","Amhara",10313856,"18.05","19.79","21.89",0.1095,0.1212,0.1329,"Pessimistic"
"Africa","ETH","Ethiopia","Beneshangul Gumu",10314847,"15.29","16.19","17.2",0.1394,0.1481,0.1568,"Pessimistic"
"Africa","ETH","Ethiopia","Dire Dawa",10313147,"12.58","13.69","15.01",0.1597,0.1752,0.1907,"Pessimistic"
